CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1001,101010202202600001,202600001,2026-01-10,502,202,1,1,2,21,2,301,2026-01-09T22:30:00,2026-01-10T01:15:00,2026-01-10T02:00:00,12.9352,77.6244,"Three masked individuals on a motorcycle snatched a gold chain (50g) and wallet (Rs 15000 cash) from the complainant near Koramangala 4th Block. Suspects fled towards Cubbon Park. CCTV footage recovered. Stolen registration plate used."
1002,101010201202600002,202600002,2026-02-14,501,201,1,1,4,41,2,301,2026-02-14T11:00:00,2026-02-14T13:30:00,2026-02-14T14:15:00,12.9731,77.5985,"On a reliable tip-off Cubbon Park police raided UB City park area. Accused found in possession of 1.2 kg Hydroponic Cannabis and Rs 1.5 lakh suspected drug proceeds. Accused revealed supply chain links to Mangaluru and Bengaluru coordinator bank account."
1003,101020206202600003,202600003,2026-03-05,506,206,1,2,2,22,3,305,2026-03-04T09:00:00,2026-03-04T21:00:00,2026-03-05T07:30:00,12.2995,76.6432,"Complainant returned from business trip to find door lock broken and house ransacked. Gold ornaments (Rs 3.5 lakh) silver articles and a laptop stolen. Pry-bar entry method. Latent fingerprints collected by forensics match past offender profiles in Mysuru database."
1004,101030209202600004,202600004,2026-03-28,509,209,1,1,3,31,2,307,2026-03-27T10:00:00,2026-03-27T16:00:00,2026-03-28T11:00:00,12.9189,74.8624,"Senior citizen K. Raghunath defrauded of Rs 12.4 lakh via phishing. Caller impersonated bank official and extracted OTP. Funds transferred to five mule accounts within 30 minutes and subsequently withdrawn from ATMs in Bengaluru. Registered under IT Act Sec 66D."
1005,101010202202600005,202600005,2026-04-12,502,202,1,1,1,11,2,301,2026-04-12T01:00:00,2026-04-12T02:00:00,2026-04-12T06:30:00,12.9288,77.6199,"32-year-old merchant found dead inside his office cabin in Koramangala with multiple stab wounds. CCTV captures two suspects entering at 01:15 AM wearing hoods. Forensics collected footprints and call records show contact with known gang associate before murder."
1006,101040212202600006,202600006,2026-05-02,512,212,1,2,2,21,2,309,2026-05-01T14:00:00,2026-05-01T15:00:00,2026-05-02T09:00:00,15.3582,75.1325,"Elderly woman walking home on Dharwad Road was pushed by pillion rider on unmarked Pulsar motorcycle who snatched her 40g gold chain. MO matches series of snatches across North Karnataka pointing to an inter-district gang."
1007,101010202202600007,202600007,2026-05-20,502,202,1,1,2,21,2,301,2026-05-19T23:45:00,2026-05-20T00:30:00,2026-05-20T01:30:00,12.9320,77.6290,"Armed robbery at electronics godown in Koramangala. Four armed robbers overpowered night watchman tied him up and looted smartphones and laptops worth Rs 12 lakh. Gang loaded stolen goods into a white commercial vehicle. Watchman identified suspect matching Ramesh Kumar profile."
1008,101060217202600008,202600008,2026-06-12,517,217,1,1,1,14,2,313,2026-06-11T19:30:00,2026-06-11T20:30:00,2026-06-12T08:00:00,17.3325,76.8421,"Violent clash between two student groups near Kalaburagi Town square. One faction attacked another with iron rods and sharp weapons. Three victims suffered severe head injuries. Linked to college gang rivalry and high unemployment in region."
1009,101010203202600009,202600009,2026-06-20,503,203,1,1,5,51,2,302,2026-06-20T02:00:00,2026-06-20T03:30:00,2026-06-20T06:45:00,12.9716,77.7499,"Woman reported rape by known acquaintance at a rented apartment in Whitefield. Medical examination conducted. Victim provided description of accused. Mobile phone records and location data collected as evidence."
1010,101030210202600010,202600010,2026-07-01,510,210,1,2,2,23,2,307,2026-06-30T15:00:00,2026-06-30T16:30:00,2026-07-01T10:00:00,12.8698,74.8431,"Complainant reported theft of two-wheeler (Honda Activa) from Mangaluru Central market area. CCTV footage shows suspect breaking the lock and riding away. Partial number plate captured. Similar vehicle theft reported twice in the same locality."
1011,101010201202600011,202600011,2026-07-05,501,201,1,1,4,42,2,301,2026-07-04T20:00:00,2026-07-04T22:00:00,2026-07-05T08:30:00,12.9768,77.5946,"Undercover operation at Cubbon Park area. Accused caught selling MDMA tablets near nightclub. Rs 85000 in cash seized. Two mobile phones with encrypted messaging apps recovered. Background check revealed prior NDPS history in Tamil Nadu."
1012,101020207202600012,202600012,2026-07-08,507,207,1,2,5,53,3,305,2026-07-07T20:00:00,2026-07-07T23:30:00,2026-07-08T09:15:00,12.3156,76.6102,"Woman filed complaint of domestic violence by husband and in-laws over dowry demands. Victim sustained bruises on face and arms. Medicolegal certificate obtained. Neighbor witness testimony recorded. Accused husband out on anticipatory bail."
1013,101030211202600013,202600013,2026-07-10,511,211,1,1,3,32,2,307,2026-07-09T09:00:00,2026-07-09T14:00:00,2026-07-10T11:30:00,12.9102,74.8560,"Cyber cell registered case of SIM swap fraud. Victim's mobile number hijacked by fraudsters who convinced telecom provider to issue new SIM. Rs 6.8 lakh withdrawn from multiple bank accounts in three hours. Accused traced to Hyderabad via IP logs."
1014,101040213202600014,202600014,2026-07-12,513,213,1,2,2,26,2,309,2026-07-11T10:00:00,2026-07-11T12:00:00,2026-07-12T09:00:00,15.4605,75.0090,"Manager of a cooperative bank in Dharwad reported criminal breach of trust. Junior clerk embezzled Rs 18.5 lakh by creating fictitious loan accounts over 6 months. Audit trail and ledger discrepancies documented. Suspect on the run."
1015,101050215202600015,202600015,2026-07-15,515,215,1,1,1,13,2,311,2026-07-14T21:00:00,2026-07-14T22:30:00,2026-07-15T07:00:00,15.8497,74.4977,"28-year-old man attacked with a sharp weapon outside a bar in Belagavi. Suffered life-threatening injuries to neck region. Attacker fled on foot. Bar owner provided CCTV footage. Motive believed to be personal enmity over a land dispute."
1016,101010204202600016,202600016,2026-01-18,504,204,1,2,2,23,3,301,2026-01-17T16:00:00,2026-01-17T18:00:00,2026-01-18T10:00:00,12.9556,77.6412,"Theft of laptop bag containing MacBook Pro and official documents from a cafe in Yelahanka. Suspect identified from CCTV as a young male in blue hoodie. Bag also contained ID cards and an external hard drive with sensitive company data."
1017,101020208202600017,202600017,2026-02-03,508,208,1,1,8,81,2,305,2026-02-02T18:00:00,2026-02-02T20:00:00,2026-02-03T08:00:00,12.3050,76.6520,"Large-scale riot following a religious procession dispute in Nazarbad area Mysuru. Two rival groups pelted stones. Five persons injured three vehicles damaged. Section 144 imposed. Instigators identified from video footage posted on social media."
1018,101060218202600018,202600018,2026-02-20,518,218,1,1,4,43,2,313,2026-02-19T22:00:00,2026-02-19T23:59:00,2026-02-20T06:00:00,17.4120,76.7780,"Organized gang activity detected in Aland Road jurisdiction. Intelligence report indicates extortion of local traders by a gang of six. Two arrests made. Accused found with illegal firearms. Gang linked to Kalaburagi underworld syndicate."
1019,101010205202600019,202600019,2026-03-10,505,205,1,2,2,25,2,301,2026-03-09T11:00:00,2026-03-09T13:00:00,2026-03-10T09:30:00,12.9122,77.5944,"Extortion case filed by small business owner in JP Nagar. Received threatening phone calls demanding Rs 5 lakh for protection. Caller identified as a local goon with prior criminal record. Call records traced. Accused arrested within 24 hours."
1020,101030209202600020,202600020,2026-03-22,509,209,1,1,3,33,2,307,2026-03-21T10:00:00,2026-03-21T15:00:00,2026-03-22T10:00:00,12.9180,74.8600,"Online identity theft reported. Accused created fake social media profile of victim and used it to defraud victim's contacts of Rs 2.3 lakh by posing as victim in urgent distress. IP address traced to cyber cafe in Mangaluru."
1021,101020206202600021,202600021,2026-04-01,506,206,1,2,7,71,2,305,2026-03-31T09:00:00,2026-03-31T11:00:00,2026-04-01T10:00:00,12.3110,76.6490,"SC/ST atrocity case filed. Complainant belonging to Scheduled Caste community verbally abused and physically assaulted by accused who belongs to dominant caste community. Incident occurred in public near bus stand. Two witnesses present."
1022,101040212202600022,202600022,2026-04-08,512,212,1,2,2,27,2,309,2026-04-07T14:00:00,2026-04-07T16:00:00,2026-04-08T10:00:00,15.3620,75.1240,"Two motorcycles stolen from apartment complex parking lot in Navanagar Hubballi. Security camera footage shows two individuals cutting locks. Suspects wore caps and masks. Serial MO matches thefts in adjacent neighborhoods over past month."
1023,101010201202600023,202600023,2026-04-15,501,201,1,1,9,91,2,302,2026-04-14T11:00:00,2026-04-14T13:00:00,2026-04-15T09:00:00,12.9725,77.5950,"Anti-corruption trap laid by ACB. Public servant (lower division clerk) at Regional Transport Office caught accepting Rs 15000 bribe for issuing driving license without test. Marked currency recovered. Accused arrested in-flagrante."
1024,101050216202600024,202600024,2026-04-22,516,216,1,2,5,52,2,311,2026-04-21T19:00:00,2026-04-21T21:00:00,2026-04-22T08:00:00,15.8600,74.5100,"Molestation complaint filed by college student. Accused groped victim in crowded bus. Fellow passengers identified accused. Accused is a repeat offender with two prior molestation complaints in the same district."
1025,101060217202600025,202600025,2026-04-30,517,217,1,2,2,22,2,313,2026-04-29T01:00:00,2026-04-29T04:00:00,2026-04-30T07:30:00,17.3290,76.8450,"House-breaking and theft at residential property in Kalaburagi Town. Family was away for a wedding. Thieves entered through rear window broke almirah and stole gold jewellery cash and electronic devices worth Rs 4.2 lakh. Footprint evidence collected."
1026,101010203202600026,202600026,2026-05-05,503,203,1,1,1,11,3,302,2026-05-04T20:00:00,2026-05-04T21:30:00,2026-05-05T06:00:00,12.9740,77.7460,"Murder of a 45-year-old businessman in Whitefield. Victim found dead in car with gunshot wound. Case linked to a property dispute. Key suspect identified from toll booth camera footage. Ballistics report confirms country-made pistol used."
1027,101020207202600027,202600027,2026-05-12,507,207,1,2,6,61,2,305,2026-05-11T15:00:00,2026-05-11T17:00:00,2026-05-12T10:00:00,12.3200,76.6080,"POCSO case registered. Minor girl (age 13) sexually assaulted by a neighbor. Parents filed complaint. Medical examination conducted at designated hospital. Accused remanded in custody. Case assigned to special POCSO court."
1028,101030210202600028,202600028,2026-05-18,510,210,1,1,4,44,2,307,2026-05-17T21:00:00,2026-05-17T23:00:00,2026-05-18T09:00:00,12.8750,74.8500,"Arms trafficking case. Accused intercepted at Mangaluru port with three illegal country-made pistols and 60 rounds of ammunition concealed in fish crates. Accused linked to an interstate arms smuggling ring operating from Goa border."
1029,101040214202600029,202600029,2026-05-25,514,214,1,1,3,31,2,309,2026-05-24T09:00:00,2026-05-24T15:00:00,2026-05-25T11:00:00,15.4550,75.0120,"Job fraud scam targeting migrant workers. Accused collected Rs 2000 to Rs 5000 each from 40 job-seekers promising government jobs. Total fraud: Rs 1.2 lakh. Fake appointment letters and stamps used. Accused traced to Dharwad District."
1030,101060218202600030,202600030,2026-06-02,518,218,1,2,10,101,2,313,2026-06-01T22:00:00,2026-06-01T22:30:00,2026-06-02T08:00:00,17.4100,76.7800,"Drunk driving case. Accused driver of private bus under influence of alcohol rammed into a roadside stall injuring three persons. Blood alcohol content 0.12%. Bus license and fitness certificate found expired. Driver and vehicle owner booked."
1031,101010201202600031,202600031,2026-06-10,501,201,1,1,3,32,2,302,2026-06-09T10:00:00,2026-06-09T16:00:00,2026-06-10T09:00:00,12.9700,77.5920,"Large-scale online banking fraud targeting Bengaluru residents. Accused operating from Jharkhand sent phishing SMS links impersonating bank. 12 victims collectively lost Rs 34.5 lakh. Coordinated with Cyber Crime Cell and banking fraud unit."
1032,101020208202600032,202600032,2026-06-18,508,208,1,2,2,26,3,305,2026-06-17T10:00:00,2026-06-17T14:00:00,2026-06-18T09:00:00,12.3100,76.6500,"Criminal breach of trust by private finance company agent. Agent collected installment payments from 25 borrowers amounting to Rs 8.5 lakh and absconded without depositing to company. Victims filed joint complaint. Accused located in Hassan."
1033,101010204202600033,202600033,2026-06-25,504,204,1,1,5,54,2,301,2026-06-24T19:00:00,2026-06-24T22:00:00,2026-06-25T08:30:00,12.9560,77.6430,"Dowry harassment complaint. Newly married woman admitted to hospital with burn injuries. In-laws accused of pouring kerosene. Victim in critical condition. IPC 498A and attempt to murder sections invoked. All three accused arrested."
1034,101050215202600034,202600034,2026-07-02,515,215,1,1,1,14,2,311,2026-07-01T18:00:00,2026-07-01T19:30:00,2026-07-02T07:00:00,15.8510,74.5010,"Gang assault outside a liquor shop in Belagavi. Victim was stabbed multiple times by a group of five following an argument. Victim hospitalized in ICU. CCTV captured three suspects. One suspect surrendered. Accused known to local police."
1035,101030209202600035,202600035,2026-07-08,509,209,1,2,2,25,2,307,2026-07-07T14:00:00,2026-07-07T15:30:00,2026-07-08T10:30:00,12.9200,74.8650,"Extortion via WhatsApp. Accused sent threatening voice messages to a fish merchant demanding Rs 3 lakh for protection money. Accused identified through number tracing and arrested. Mobile phone with all voice messages seized as evidence."
1036,101010202202600036,202600036,2026-07-10,502,202,1,1,4,41,3,301,2026-07-09T16:00:00,2026-07-09T19:00:00,2026-07-10T08:00:00,12.9360,77.6260,"Drug trafficking arrest in Koramangala. Accused courier carrying 500g heroin concealed in hollow book. Accused arrived from Mumbai by bus. CDR analysis reveals contact with a known Bengaluru-based distribution network. Chargesheeted."
1037,101060217202600037,202600037,2026-07-12,517,217,1,2,8,82,2,313,2026-07-11T17:00:00,2026-07-11T19:30:00,2026-07-12T08:30:00,17.3310,76.8440,"Unlawful assembly of 50+ persons outside Kalaburagi district court following a verdict. Participants shouted slogans and pelted stones at police. Three officers sustained minor injuries. Case registered under IPC 149 and 147. 12 persons detained."
1038,101020206202600038,202600038,2026-07-15,506,206,1,2,2,22,2,305,2026-07-14T02:00:00,2026-07-14T05:00:00,2026-07-15T08:00:00,12.2990,76.6440,"Burglary at a jewellery shop in Lakshmipuram Mysuru. Thieves broke in at night cutting through the rear shutter. Gold jewellery worth Rs 22 lakh stolen. Forensics collected tool marks and a partial palm print from the display counter."
1039,101030210202600039,202600039,2026-07-18,510,210,1,1,3,35,2,307,2026-07-17T10:00:00,2026-07-17T16:00:00,2026-07-18T11:00:00,12.8710,74.8440,"Morphed images of a woman posted on obscene websites by her estranged husband. Victim filed complaint with Cyber Cell. Images traced to a specific account registered with a foreign IP. IT Act 66E and IPC sections invoked."
1040,101010205202600040,202600040,2026-07-20,505,205,1,2,2,23,1,301,2026-07-19T13:00:00,2026-07-19T14:00:00,2026-07-20T09:00:00,12.9100,77.5960,"Pickpocket complaint at JP Nagar weekly market. Victim's wallet containing Rs 8000 cash and two ATM cards stolen from trouser pocket while shopping. Accused identified from market surveillance camera. FIR registered and accused being traced."
